I,eu
you,tu
he,el
she,ea
it,el/ea
we,noi
you,voi
they,ei/ele
what,ce
who,cine
where,unde
why,de ce
how,cum
which,care
when,când
then,apoi
if,dacă
really,chiar
but,dar
because,deoarece
not,nu
this,acesta
that,acela
all,tot
or,sau
and,și
here,aici
there,acolo
left,stânga
right,dreapta
now,acum
afternoon,după-amiază|după-amiaza
morning,dimineață|dimineața
night,noapte|noaptea
morning,zori|zorii
evening,seară|seara
noon,amiază|amiaza
midnight,miezul nopții
hour,oră|ora
minute,minut|minutul
second,secundă|secunda
day,zi|ziua
week,săptămână|săptămâna
month,lună|luna
year,an|anul
yesterday,ieri
today,astăzi
tomorrow,mâine
Monday,luni
Tuesday,marţi
Wednesday,miercuri
Thursday,joi
Friday,vineri
Saturday,sâmbătă
Sunday,duminică
woman,femeie|femeia
man,bărbat|bărbatul
love,iubire|iubirea
boyfriend,iubit|iubitul
girlfriend,iubită|iubita
friend,prieten|prietenul
kiss,sărut|sărutul
sex,sex|sexul
child,copil|copilul
girl,fată|fata
boy,băiat|băiatul
mum,mami|mămica
dad,tati|tăticul
mother,mamă|mama
father,tată|tatăl
parents,părinți|părinții
son,fiu|fiul
daughter,fiică|fiica
little sister,soră mai mică|sora mai mică
little brother,frate mai mic|fratele mai mic
big sister,soră mai mare|sora mai mare
big brother,frate mai mare|fratele mai mare
husband,soț|soțul
wife,soție|soția
every,fiecare
always,mereu
actually,de fapt
again,din nou
already,deja
less,mai puțin
most,cel mai
more,mai mult
none,niciunul
very,foarte
outside,afară
inside,înăuntru
far,departe
close,aproape
below,dedesubt
above,deasupra
beside,lângă
front,înainte
back,înapoi
everybody,toți
together,împreună
other,alt
spring,primăvară|primăvara
summer,vară|vara
autumn,toamnă|toamna
winter,iarnă|iarna
January,ianuarie
February,februarie
March,martie
April,aprilie
May,mai
June,iunie
July,iulie
August,august
September,septembrie
October,octombrie
November,noiembrie
December,decembrie
north,nord
east,est
south,sud
west,vest
often,deseori
immediately,imediat
suddenly,deodată
although,deși