accident,accident|accidentul
patient,pacient|pacientul
surgery,operație|operația
pill,pastilă|pastila
fever,febră|febra
cough,tuse|tusea
emergency room,secție de urgență|secția de urgență
intensive care unit,terapie intensivă|terapia intensivă
waiting room,sală de așteptare|sala de așteptare
aspirin,aspirină|aspirina
sleeping pill,somnifer|somniferul
expiry date,dată de expirare|data de expirare
dosage,dozaj|dozajul
cough syrup,sirop de tuse|siropul de tuse
side effect,efect secundar|efectul secundar
insulin,insulină|insulina
powder,pudră|pudra
capsule,capsulă|capsula
vitamin,vitamină|vitamina
painkiller,analgezic|analgezicul
antibiotics,antibiotic|antibioticul
bacterium,bacterie|bacteria
virus,virus|virusul
heart attack,infarct miocardic|infarctul miocardic
diarrhea,diaree|diareea
diabetes,diabet|diabetul
stroke,atac vascular cerebral|atacul vascular cerebral
asthma,astm|astmul
cancer,cancer|cancerul
flu,gripă|gripa
toothache,durere de măsea|durerea de măsea
sunburn,arsură solară|arsura solară
sore throat,durere de gât|durerea de gât
stomach ache,durere de stomac|durerea de stomac
infection,infecție|infecția
allergy,alergie|alergia
cramp,crampă|crampa
headache,durere de cap|durerea de cap
syringe,seringă|seringa
crutch,cârjă|cârja
X-ray photograph,fotografie cu raze X|fotografia cu raze X
ultrasound machine,dispozitiv ultrasonic|dispozitivul ultrasonic
plaster,plasture|plasturele
wheelchair,scaun cu rotile|scaunul cu rotile
cast,ghips|ghipsul
pulse,puls|pulsul
injury,rană|rana
emergency,urgență|urgența
concussion,comoție|comoția
burn,arsură|arsura
fracture,fractură|fractura
birth control pill,pilulă anticoncepțională|pilula anticoncepțională
pregnancy test,test de sarcină|testul de sarcină