door,ușă|ușa
kitchen,bucătărie|bucătăria
bathroom,baie|baia
living room,sufragerie|sufrageria
bedroom,dormitor|dormitorul
garden,grădină|grădina
garage,garaj|garajul
wall,perete|peretele
basement,subsol|subsolul
toilet,toaletă|toaleta
stairs,scară|scara
roof,acoperiș|acoperișul
window,fereastră|fereastra
knife,cuțit|cuțitul
cup,ceașcă|ceașca
glass,pahar|paharul
plate,farfurie|farfuria
cup,pahar|paharul
garbage bin,coș de gunoi|coșul de gunoi
bowl,castron|castronul
desk,birou|biroul
bed,pat|patul
mirror,oglindă|oglinda
shower,duș|dușul
sofa,canapea|canapeaua
picture,fotografie|fotografia
clock,ceas|ceasul
table,masă|masa
chair,scaun|scaunul
neighbour,vecin|vecinul
elevator,lift|liftul
balcony,balcon|balconul
attic,mansardă|mansarda
chimney,horn|hornul
wooden spoon,lingură de lemn|lingura de lemn
chopstick,bețișor|bețișorul
cutlery,tacâm|tacâmul
spoon,lingură|lingura
fork,furculiță|furculița
ladle,polonic|polonicul
pot,oală|oala
pan,tigaie|tigaia
light bulb,bec|becul
bookshelf,bibliotecă|biblioteca
curtain,perdea|perdeaua
mattress,saltea|salteaua
pillow,pernă|perna
blanket,pătură|pătura
shelf,raft|raftul
drawer,sertar|sertarul
wardrobe,șifonier|șifonierul
bucket,găleată|găleata
broom,mătură|mătura
scale,cântar|cântarul
laundry basket,coș de rufe|coșul de rufe
bathtub,cadă|cada
bath towel,prosop de baie|prosopul de baie
soap,săpun|săpunul
toilet paper,hârtie igienică|hârtia igienică
towel,prosop|prosopul
basin,chiuvetă|chiuveta
ladder,scară|scara
mailbox,cutie poștală|cutia poștală
fence,gard|gardul