0,zero
1,unu
2,doi
3,trei
4,patru
5,cinci
6,șase
7,șapte
8,opt
9,nouă
10,zece
11,unsprezece
12,doisprezece
13,treisprezece
14,paisprezece
15,cincisprezece
16,șaisprezece
17,șaptesprezece
18,optsprezece
19,nouăsprezece
20,douăzeci
21,douăzeci și unu
22,douăzeci și doi
26,douăzeci și șase
30,treizeci
31,treizeci și unu
33,treizeci și trei
37,treizeci și șapte
40,patruzeci
41,patruzeci și unu
44,patruzeci și patru
48,patruzeci și opt
50,cincizeci
51,cincizeci și unu
55,cincizeci și cinci
59,cincizeci și nouă
60,șaizeci
61,șaizeci și unu
62,șaizeci și doi
66,șaizeci și șase
70,șaptezeci
71,șaptezeci și unu
73,șaptezeci și trei
77,șaptezeci și șapte
80,optzeci
81,optzeci și unu
84,optzeci și patru
88,optzeci și opt
90,nouăzeci
91,nouăzeci și unu
95,nouăzeci și cinci
99,nouăzeci și nouă
100,o sută
101,o sută unu
105,o sută cinci
110,o sută zece
151,o sută cincizeci și unu
200,două sute
202,două sute doi
206,două sute șase
220,două sute douăzeci
262,două sute șaizeci și doi
300,trei sute
303,trei sute trei
307,trei sute șapte
330,trei sute treizeci
373,trei sute șaptezeci și trei
400,patru sute
404,patru sute patru
408,patru sute opt
440,patru sute patruzeci
484,patru sute optzeci și patru
500,cinci sute
505,cinci sute cinci
509,cinci sute nouă
550,cinci sute cincizeci
595,cinci sute nouăzeci și cinci
600,șase sute
601,șase sute unu
606,șase sute șase
616,șase sute șaisprezece
660,șase sute șaizeci
700,șapte sute
702,șapte sute doi
707,șapte sute șapte
727,șapte sute douăzeci și șapte
770,șapte sute șaptezeci
800,opt sute
803,opt sute trei
808,opt sute opt
838,opt sute treizeci și opt
880,opt sute optzeci
900,nouă sute
904,nouă sute patru
909,nouă sute nouă
949,nouă sute patruzeci și nouă
990,nouă sute nouăzeci
1000,o mie
1001,o mie unu
1012,o mie doisprezece
1234,o mie două sute treizeci și patru
2000,două mii
2002,două mii doi
2023,două mii douăzeci și trei
2345,două mii trei sute patruzeci și cinci
3000,trei mii
3003,trei mii trei
4000,patru mii
4045,patru mii patruzeci și cinci
5000,cinci mii
5678,cinci mii șase sute șaptezeci și opt
6000,șase mii
7000,șapte mii
7890,șapte mii opt sute nouăzeci
8000,opt mii
8901,opt mii nouă sute unu
9000,nouă mii
9090,nouă mii nouăzeci
10.000,zece mii
10.001,zece mii unu
20.020,douăzeci de mii douăzeci
30.300,treizeci de mii trei sute
44.000,patruzeci și patru de mii
100.000,o sută de mii
500.000,cinci sute de mii
1.000.000,un milion
6.000.000,șase milioane
10.000.000,zece milioane
70.000.000,șaptezeci de milioane
100.000.000,o sută de milioane
800.000.000,opt sute de milioane
1.000.000.000,un miliard
9.000.000.000,nouă miliarde
10.000.000.000,zece miliarde
20.000.000.000,douăzeci de miliarde
100.000.000.000,o sută de miliarde
300.000.000.000,trei sute de miliarde
1.000.000.000.000,un trilion