book,carte|cartea
library,bibliotecă|biblioteca
homework,temă pentru acasă|tema pentru acasă
exam,examen|examenul
lesson,lecție|lecția
science,științe|științele
history,istorie|istoria
art,arte|artele
pen,pix|pixul
pencil,creion|creionul
first,primul
second,al doilea
third,al treilea
fourth,al patrulea
research,cercetare|cercetarea
degree,grad|gradul
sports ground,teren de sport|terenul de sport
dictionary,dicționar|dicționarul
term,semestru|semestrul
notebook,caiet|caietul
geometry,geometrie|geometria
politics,politică|politica
philosophy,filozofie|filozofia
economics,economie|economia
physical education,educație fizică|educația fizică
biology,biologie|biologia
mathematics,matematică|matematica
geography,geografie|geografia
literature,literatură|literatura
chemistry,chimie|chimia
physics,fizică|fizica
ruler,riglă|rigla
rubber,radieră|radiera
scissors,foarfecă|foarfeca
adhesive tape,bandă adezivă|banda adezivă
glue,lipici|lipiciul
ball pen,pix cu bilă|pixul cu bilă
paperclip,agrafă de birou|agrafa de birou
3%,trei la sută
100%,sută la sută
0%,zero la sută
cubic meter,metru cub|metrul cub
square meter,metru pătrat|metrul pătrat
mile,milă|mila
meter,metru|metrul
millimeter,milimetru|milimetrul
centimeter,centimetru|centimetrul
decimeter,decimetru|decimetrul
addition,adunare|adunarea
subtraction,scădere|scăderea
multiplication,înmulțire|înmulțirea
division,împărțire|împărțirea
area,arie|aria
volume,volum|volumul
rectangle,dreptunghi|dreptunghiul
square,pătrat|pătratul
triangle,triunghi|triunghiul
circle,cerc|cercul
liter,litru|litrul
milliliter,mililitru|mililitrul
ton,tonă|tona
kilogram,kilogram|kilogramul
gram,gram|gramul
magnet,magnet|magnetul
microscope,microscop|microscopul
funnel,pâlnie|pâlnia
laboratory,laborator|laboratorul
lecture,curs|cursul