to know,a ști|știu|știind|știut
to think,a gândi|gândesc|gândind|gândit
to come,a veni|vin|venind|venit
to put,a pune|pun|punând|pus
to take,a lua|iau|luând|luat
to find,a găsi|găsesc|găsind|găsit
to listen,a asculta|ascult|ascultând|ascultat
to work,a lucra|lucrez|lucrând|lucrat
to talk,a vorbi|vorbesc|vorbind|vorbit
to give,a da|dau|dând|dat
to like,a plăcea|plac|plăcând|plăcut
to help,a ajuta|ajut|ajutând|ajutat
to love,a iubi|iubesc|iubind|iubit
to call,a da un apel telefonic|dau|dând|dat
to wait,a aștepta|aștept|așteptând|așteptat
to stand,a sta|stau|stând|stat
to sit,a se așeza|mă așez|așezându-mă|așezat
to close,a închide|închid|închizând|închis
to open,a deschide|deschid|deschizând|deschis
to lose,a pierde|pierd|pierzând|pierdut
to win,a câștiga|câștig|câștigând|câștigat
to die,a muri|mor|murind|murit
to live,a trăi|trăiesc|trăind|trăit
to turn on,a aprinde|aprind|aprinzând|aprins
to turn off,a stinge|sting|stingând|stins
to kill,a ucide|ucid|ucigând|ucis
to injure,a răni|rănesc|rănind|rănit
to touch,a atinge|ating|atingând|atins
to watch,a privi|privesc|privind|privit
to drink,a bea|beau|bând|băut
to eat,a mânca|mănânc|mâncând|mâncat
to walk,a umbla|umblu|umblând|umblat
to meet,a întâlni|întâlnesc|întâlnind|întâlnit
to bet,a paria|pariez|pariind|pariat
to kiss,a săruta|sărut|sărutând|sărutat
to follow,a urmări|urmăresc|urmărind|urmărit
to marry,a se căsători|mă căsătoresc|căsătorindu-mă|căsătorit
to answer,a răspunde|răspund|răspunzând|răspuns
to ask,a întreba|întreb|întrebând|întrebat
to pull,a trage|trag|trăgând|tras
to push,a împinge|împing|împingând|împins
to press,a apăsa|apăs|apăsând|apăsat
to hit,a lovi|lovesc|lovind|lovit
to catch,a prinde|prind|prinzând|prins
to fight,a lupta|lupt|luptând|luptat
to throw,a arunca|arunc|aruncând|aruncat
to run,a alerga|alerg|alergând|alergat
to read,a citi|citesc|citind|citit
to write,a scrie|scriu|scriind|scris
to fix,a repara|repar|reparând|reparat
to count,a număra|număr|numărând|numărat
to cut,a tăia|tai|tăind|tăiat
to sell,a vinde|vând|vânzând|vândut
to buy,a cumpăra|cumpăr|cumpărând|cumpărat
to pay,a plăti|plătesc|plătind|plătit
to study,a studia|studiez|studiind|studiat
to dream,a visa|visez|visând|visat
to sleep,a dormi|dorm|dormind|dormit
to play,a se juca|mă joc|jucându-mă|jucat
to celebrate,a sărbători|sărbătoresc|sărbătorind|sărbătorit
to enjoy,a se bucura|mă bucur|bucurându-mă|bucurat
to clean,a curăța|curăț|curățând|curățat
to shoot,a împușca|împușc|împușcând|împușcat
to defend,a apăra|apăr|apărând|apărat
to attack,a ataca|atac|atacând|atacat
to steal,a fura|fur|furând|furat
to burn,a arde|ard|arzând|ars
to rescue,a salva|salvez|salvând|salvat
to fly,a zbura|zbor|zburând|zburat
to spit,a scuipa|scuip|scuipând|scuipat
to kick,a șuta|șutez|șutând|șutat
to bite,a mușca|mușc|mușcând|mușcat
to breathe,a respira|respir|respirând|respirat
to smell,a mirosi|miros|mirosind|mirosit
to cry,a plânge|plâng|plângând|plâns
to sing,a cânta|cânt|cântând|cântat
to smile,a zâmbi|zâmbesc|zâmbind|zâmbit
to laugh,a râde|râd|râzând|râs
to grow,a crește|cresc|crescând|crescut
to shrink,a se micșora|mă micșorez|micșorându-mă|micșorat
to argue,a se certa|mă cert|certându-mă|certat
to share,a împărți|împart|împărțind|împărțit
to feed,a hrăni|hrănesc|hrănind|hrănit
to hide,a ascunde|ascund|ascunzând|ascuns
to warn,a avertiza|avertizez|avertizând|avertizat
to swim,a înota|înot|înotând|înotat
to jump,a sări|sar|sărind|sărit
to lift,a ridica|ridic|ridicând|ridicat
to dig,a săpa|sap|săpând|săpat
to deliver,a livra|livrez|livrând|livrat
to look for,a căuta|caut|căutând|căutat
to practice,a practica|practic|practicând|practicat
to travel,a călători|călătoresc|călătorind|călătorit
to paint,a picta|pictez|pictând|pictat
to open,a deschide|deschid|deschizând|deschis
to lock,a încuia|încui|încuind|încuiat
to wash,a spăla|spăl|spălând|spălat
to pray,a se ruga|mă rog|rugându-mă|rugat
to cook,a găti|gătesc|gătind|gătit
to vomit,a vomita|vomit|vomitând|vomitat
to shout,a țipa|țip|țipând|țipat
to quote,a cita|citez|citând|citat
to print,a tipări|tipăresc|tipărind|tipărit
to calculate,a calcula|calculez|calculând|calculat
to earn,a câștiga|câștig|câștigând|câștigat